char,left,width,total
こ,00,0C,0C
ご,00,0C,0C
さ,00,0C,0C
ざ,00,0C,0C
し,00,0C,0C
じ,00,0C,0C
す,00,0C,0C
ず,00,0C,0C
せ,00,0C,0C
ぜ,00,0C,0C
そ,00,0C,0C
ぞ,00,0C,0C
た,00,0C,0C
だ,00,0C,0C
ち,00,0C,0C
ぢ,00,0C,0C
っ,00,0C,0C
つ,00,0C,0C
づ,00,0C,0C
て,00,0C,0C
で,00,0C,0C
と,00,0C,0C
ど,00,0C,0C
な,00,0C,0C
に,00,0C,0C
ぬ,00,0C,0C
ね,00,0C,0C
の,00,0C,0C
は,00,0C,0C
ば,00,0C,0C
ぱ,00,0C,0C
ひ,00,0C,0C
び,00,0C,0C
ぴ,00,0C,0C
ふ,00,0C,0C
ぶ,00,0C,0C
ぷ,00,0C,0C
へ,00,0C,0C
べ,00,0C,0C
ぺ,00,0C,0C
ほ,00,0C,0C
ぼ,00,0C,0C
ぽ,00,0C,0C
ま,00,0C,0C
み,00,0C,0C
む,00,0C,0C
め,00,0C,0C
も,00,0C,0C
ゃ,00,0C,0C
や,00,0C,0C
ゅ,00,0C,0C
ゆ,00,0C,0C
ょ,00,0C,0C
よ,00,0C,0C
ら,00,0C,0C
り,00,0C,0C
る,00,0C,0C
れ,00,0C,0C
ろ,00,0C,0C
ゎ,00,0C,0C
わ,00,0C,0C
ゐ,00,0C,0C
ゑ,00,0C,0C
を,00,0C,0C
ん,00,0C,0C
゛,00,0C,0C
゜,00,0C,0C
ゝ,00,0C,0C
ゞ,00,0C,0C
ァ,00,0C,0C
ア,00,0C,0C
ィ,00,0C,0C
イ,00,0C,0C
ゥ,00,0C,0C
ウ,00,0C,0C
ェ,00,0C,0C
エ,00,0C,0C
ォ,00,0C,0C
オ,00,0C,0C
カ,00,0C,0C
ガ,00,0C,0C
キ,00,0C,0C
ギ,00,0C,0C
ク,00,0C,0C
グ,00,0C,0C
ケ,00,0C,0C
ゲ,00,0C,0C
コ,00,0C,0C
ゴ,00,0C,0C
サ,00,0C,0C
ザ,00,0C,0C
シ,00,0C,0C
ジ,00,0C,0C
ス,00,0C,0C
ズ,00,0C,0C
セ,00,0C,0C
ゼ,00,0C,0C
ソ,00,0C,0C
ゾ,00,0C,0C
タ,00,0C,0C
ダ,00,0C,0C
チ,00,0C,0C
ヂ,00,0C,0C
ッ,00,0C,0C
ツ,00,0C,0C
ヅ,00,0C,0C
テ,00,0C,0C
デ,00,0C,0C
ト,00,0C,0C
ド,00,0C,0C
ナ,00,0C,0C
ニ,00,0C,0C
ヌ,00,0C,0C
ネ,00,0C,0C
ノ,00,0C,0C
ハ,00,0C,0C
バ,00,0C,0C
パ,00,0C,0C
ヒ,00,0C,0C
ビ,00,0C,0C
ピ,00,0C,0C
フ,00,0C,0C
ブ,00,0C,0C
プ,00,0C,0C
ヘ,00,0C,0C
ベ,00,0C,0C
ペ,00,0C,0C
ホ,00,0C,0C
ボ,00,0C,0C
ポ,00,0C,0C
マ,00,0C,0C
ミ,00,0C,0C
ム,00,0C,0C
メ,00,0C,0C
モ,00,0C,0C
ャ,00,0C,0C
ヤ,00,0C,0C
ュ,00,0C,0C
ユ,00,0C,0C
ョ,00,0C,0C
ヨ,00,0C,0C
ラ,00,0C,0C
リ,00,0C,0C
ル,00,0C,0C
レ,00,0C,0C
ロ,00,0C,0C
ヮ,00,0C,0C
ワ,00,0C,0C
ヰ,00,0C,0C
ヱ,00,0C,0C
ヲ,00,0C,0C
ン,00,0C,0C
ヴ,00,0C,0C
ヵ,00,0C,0C
ヶ,00,0C,0C
・,01,04,05
ー,00,0C,0C
ヽ,00,0C,0C
ヾ,00,0C,0C
ㄱ,00,0C,0C
ㄲ,00,0C,0C
ㄴ,00,0C,0C
ㄷ,00,0C,0C
ㄸ,00,0C,0C
ㄹ,00,0C,0C
ㅁ,00,0C,0C
ㅂ,00,0C,0C
ㅃ,00,0C,0C
ㅅ,00,0C,0C
ㅆ,00,0C,0C
ㅇ,00,0C,0C
ㅈ,00,0C,0C
ㅉ,00,0C,0C
ㅊ,00,0C,0C
ㅋ,00,0C,0C
ㅌ,00,0C,0C
ㅍ,00,0C,0C
ㅎ,00,0C,0C
ㅏ,00,0C,0C
ㅐ,00,0C,0C
ㅑ,00,0C,0C
ㅒ,00,0C,0C
ㅓ,00,0C,0C
ㅔ,00,0C,0C
ㅕ,00,0C,0C
ㅖ,00,0C,0C
ㅗ,00,0C,0C
ㅛ,00,0C,0C
ㅜ,00,0C,0C
ㅠ,00,0C,0C
ㅡ,00,0C,0C
ㅣ,00,0C,0C
㈱,00,0C,0C
㈲,00,0C,0C
㈹,00,0C,0C
㊤,00,0C,0C
㊥,00,0C,0C
㊦,00,0C,0C
㊧,00,0C,0C
㊨,00,0C,0C
㌃,00,0C,0C
㌍,00,0C,0C
㌔,00,0C,0C
㌘,00,0C,0C
㌢,00,0C,0C
㌣,00,0C,0C
㌦,00,0C,0C
㌧,00,0C,0C
㌫,00,0C,0C
㌶,00,0C,0C
㌻,00,0C,0C
㍉,00,0C,0C
㍊,00,0C,0C
㍍,00,0C,0C
㍑,00,0C,0C
㍗,00,0C,0C
㍻,00,0C,0C
㍼,00,0C,0C
㍽,00,0C,0C
㍾,00,0C,0C
㎎,00,0C,0C
㎏,00,0C,0C
㎜,00,0C,0C
㎝,00,0C,0C
㎞,00,0C,0C
㎡,00,0C,0C
㏄,00,0C,0C
㏍,00,0C,0C
一,00,0C,0C
丁,00,0C,0C
七,00,0C,0C
万,00,0C,0C
丈,00,0C,0C
三,00,0C,0C
上,00,0C,0C
下,00,0C,0C
不,00,0C,0C
与,00,0C,0C
且,00,0C,0C
世,00,0C,0C
丘,00,0C,0C
丙,00,0C,0C
両,00,0C,0C
並,00,0C,0C
中,00,0C,0C
丸,00,0C,0C
丹,00,0C,0C
主,00,0C,0C
久,00,0C,0C
乏,00,0C,0C
乗,00,0C,0C
乙,00,0C,0C
九,00,0C,0C
乱,00,0C,0C
乳,00,0C,0C
乾,00,0C,0C
了,00,0C,0C
予,00,0C,0C
争,00,0C,0C
事,00,0C,0C
二,00,0C,0C
互,00,0C,0C
五,00,0C,0C
井,00,0C,0C
亜,00,0C,0C
亡,00,0C,0C
交,00,0C,0C
享,00,0C,0C
京,00,0C,0C
亭,00,0C,0C
人,00,0C,0C
仁,00,0C,0C
今,00,0C,0C
介,00,0C,0C
仏,00,0C,0C
仕,00,0C,0C
他,00,0C,0C
付,00,0C,0C
仙,00,0C,0C
仝,00,0C,0C
代,00,0C,0C
令,00,0C,0C
以,00,0C,0C
仮,00,0C,0C
仰,00,0C,0C
仲,00,0C,0C
件,00,0C,0C
任,00,0C,0C
企,00,0C,0C
伏,00,0C,0C
伐,00,0C,0C
休,00,0C,0C
会,00,0C,0C
伝,00,0C,0C
伯,00,0C,0C
伴,00,0C,0C
伸,00,0C,0C
伺,00,0C,0C
似,00,0C,0C
但,00,0C,0C
位,00,0C,0C
低,00,0C,0C
住,00,0C,0C
佐,00,0C,0C
体,00,0C,0C
何,00,0C,0C
余,00,0C,0C
作,00,0C,0C
佳,00,0C,0C
併,00,0C,0C
使,00,0C,0C
例,00,0C,0C
侍,00,0C,0C
供,00,0C,0C
依,00,0C,0C
価,00,0C,0C
侮,00,0C,0C
侯,00,0C,0C
侵,00,0C,0C
便,00,0C,0C
係,00,0C,0C
促,00,0C,0C
俊,00,0C,0C
俗,00,0C,0C
保,00,0C,0C
信,00,0C,0C
修,00,0C,0C
俳,00,0C,0C
俵,00,0C,0C
俸,00,0C,0C
倉,00,0C,0C
個,00,0C,0C
倍,00,0C,0C
倒,00,0C,0C
候,00,0C,0C
借,00,0C,0C
倣,00,0C,0C
値,00,0C,0C
倫,00,0C,0C
倹,00,0C,0C
偉,00,0C,0C
偏,00,0C,0C
停,00,0C,0C
健,00,0C,0C
側,00,0C,0C
偵,00,0C,0C
偶,00,0C,0C
偽,00,0C,0C
傍,00,0C,0C
傑,00,0C,0C
傘,00,0C,0C
備,00,0C,0C
催,00,0C,0C
債,00,0C,0C
傷,00,0C,0C
傾,00,0C,0C
働,00,0C,0C
像,00,0C,0C
僕,00,0C,0C
僚,00,0C,0C
僧,00,0C,0C
儀,00,0C,0C
億,00,0C,0C
儒,00,0C,0C
償,00,0C,0C
優,00,0C,0C
元,00,0C,0C
兄,00,0C,0C
充,00,0C,0C
兆,00,0C,0C
先,00,0C,0C
光,00,0C,0C
克,00,0C,0C
免,00,0C,0C
児,00,0C,0C
党,00,0C,0C
入,00,0C,0C
全,00,0C,0C
八,00,0C,0C
公,00,0C,0C
六,00,0C,0C
共,00,0C,0C
兵,00,0C,0C
具,00,0C,0C
典,00,0C,0C
兼,00,0C,0C
内,00,0C,0C
円,00,0C,0C
冊,00,0C,0C
再,00,0C,0C
冒,00,0C,0C
冗,00,0C,0C
写,00,0C,0C
冠,00,0C,0C
冬,00,0C,0C
冷,00,0C,0C
准,00,0C,0C
凍,00,0C,0C
凝,00,0C,0C
凡,00,0C,0C
処,00,0C,0C
凶,00,0C,0C
凸,00,0C,0C
凹,00,0C,0C
出,00,0C,0C
刀,00,0C,0C
刃,00,0C,0C
分,00,0C,0C
切,00,0C,0C
刈,00,0C,0C
刊,00,0C,0C
刑,00,0C,0C
列,00,0C,0C
初,00,0C,0C
判,00,0C,0C
別,00,0C,0C
利,00,0C,0C
到,00,0C,0C
制,00,0C,0C
刷,00,0C,0C
券,00,0C,0C
刺,00,0C,0C
刻,00,0C,0C
則,00,0C,0C
削,00,0C,0C
前,00,0C,0C
剖,00,0C,0C
剛,00,0C,0C
剣,00,0C,0C
剤,00,0C,0C
副,00,0C,0C
剰,00,0C,0C
割,00,0C,0C
創,00,0C,0C
劇,00,0C,0C
力,00,0C,0C
功,00,0C,0C
加,00,0C,0C
劣,00,0C,0C
助,00,0C,0C
努,00,0C,0C
励,00,0C,0C
労,00,0C,0C
効,00,0C,0C
劾,00,0C,0C
勅,00,0C,0C
勇,00,0C,0C
勉,00,0C,0C
動,00,0C,0C
勘,00,0C,0C
務,00,0C,0C
勝,00,0C,0C
募,00,0C,0C
勢,00,0C,0C
勤,00,0C,0C
勧,00,0C,0C
勲,00,0C,0C
勺,00,0C,0C
匁,00,0C,0C
包,00,0C,0C
化,00,0C,0C
北,00,0C,0C
匠,00,0C,0C
匹,00,0C,0C
区,00,0C,0C
医,00,0C,0C
匿,00,0C,0C
十,00,0C,0C
千,00,0C,0C
升,00,0C,0C
午,00,0C,0C
半,00,0C,0C
卑,00,0C,0C
卒,00,0C,0C
卓,00,0C,0C
協,00,0C,0C
南,00,0C,0C
単,00,0C,0C
博,00,0C,0C
占,00,0C,0C
印,00,0C,0C
危,00,0C,0C
即,00,0C,0C
却,00,0C,0C
卵,00,0C,0C
卸,00,0C,0C
厄,00,0C,0C
厘,00,0C,0C
厚,00,0C,0C
原,00,0C,0C
厳,00,0C,0C
去,00,0C,0C
参,00,0C,0C
又,00,0C,0C
及,00,0C,0C
友,00,0C,0C
双,00,0C,0C
反,00,0C,0C
収,00,0C,0C
叔,00,0C,0C
取,00,0C,0C
受,00,0C,0C
叙,00,0C,0C
口,00,0C,0C
古,00,0C,0C
句,00,0C,0C
叫,00,0C,0C
召,00,0C,0C
可,00,0C,0C
台,00,0C,0C
史,00,0C,0C
右,00,0C,0C
号,00,0C,0C
司,00,0C,0C
各,00,0C,0C
合,00,0C,0C
吉,00,0C,0C
同,00,0C,0C
名,00,0C,0C
后,00,0C,0C
吏,00,0C,0C
吐,00,0C,0C
向,00,0C,0C
君,00,0C,0C
吟,00,0C,0C
否,00,0C,0C
含,00,0C,0C
吸,00,0C,0C
吹,00,0C,0C
呈,00,0C,0C
呉,00,0C,0C
告,00,0C,0C
周,00,0C,0C
味,00,0C,0C
呼,00,0C,0C
命,00,0C,0C
和,00,0C,0C
咲,00,0C,0C
哀,00,0C,0C
品,00,0C,0C
員,00,0C,0C
哲,00,0C,0C
唆,00,0C,0C
唇,00,0C,0C
唐,00,0C,0C
唯,00,0C,0C
唱,00,0C,0C
商,00,0C,0C
問,00,0C,0C
啓,00,0C,0C
善,00,0C,0C
喚,00,0C,0C
喜,00,0C,0C
喝,00,0C,0C
喪,00,0C,0C
喫,00,0C,0C
営,00,0C,0C
嗣,00,0C,0C
嘆,00,0C,0C
嘱,00,0C,0C
器,00,0C,0C
噴,00,0C,0C
嚇,00,0C,0C
囚,00,0C,0C
四,00,0C,0C
回,00,0C,0C
因,00,0C,0C
団,00,0C,0C
困,00,0C,0C
囲,00,0C,0C
図,00,0C,0C
固,00,0C,0C
国,00,0C,0C
圏,00,0C,0C
園,00,0C,0C
土,00,0C,0C
圧,00,0C,0C
在,00,0C,0C
地,00,0C,0C
坂,00,0C,0C
均,00,0C,0C
坊,00,0C,0C
坑,00,0C,0C
坪,00,0C,0C
垂,00,0C,0C
型,00,0C,0C
垣,00,0C,0C
埋,00,0C,0C
城,00,0C,0C
域,00,0C,0C
執,00,0C,0C
培,00,0C,0C
基,00,0C,0C
堀,00,0C,0C
堂,00,0C,0C
堅,00,0C,0C
堕,00,0C,0C
堤,00,0C,0C
堪,00,0C,0C
報,00,0C,0C
場,00,0C,0C
塀,00,0C,0C
塁,00,0C,0C
塊,00,0C,0C
塑,00,0C,0C
塔,00,0C,0C
塗,00,0C,0C
塚,00,0C,0C
塩,00,0C,0C
塾,00,0C,0C
境,00,0C,0C
墓,00,0C,0C
増,00,0C,0C
墜,00,0C,0C
墨,00,0C,0C
墳,00,0C,0C
墾,00,0C,0C
壁,00,0C,0C
壇,00,0C,0C
壊,00,0C,0C
壌,00,0C,0C
士,00,0C,0C
壮,00,0C,0C
声,00,0C,0C
壱,00,0C,0C
売,00,0C,0C
変,00,0C,0C
夏,00,0C,0C
夕,00,0C,0C
外,00,0C,0C
多,00,0C,0C
夜,00,0C,0C
夢,00,0C,0C
大,00,0C,0C
天,00,0C,0C
太,00,0C,0C
夫,00,0C,0C
央,00,0C,0C
失,00,0C,0C
奇,00,0C,0C
奉,00,0C,0C
奏,00,0C,0C
契,00,0C,0C
奔,00,0C,0C
奥,00,0C,0C
奨,00,0C,0C
奪,00,0C,0C
奮,00,0C,0C
女,00,0C,0C
奴,00,0C,0C
好,00,0C,0C
如,00,0C,0C
妃,00,0C,0C
妄,00,0C,0C
妊,00,0C,0C
妙,00,0C,0C
妥,00,0C,0C
妨,00,0C,0C
妹,00,0C,0C
妻,00,0C,0C
姉,00,0C,0C
始,00,0C,0C
姓,00,0C,0C
委,00,0C,0C
姫,00,0C,0C
姻,00,0C,0C
姿,00,0C,0C
威,00,0C,0C
娘,00,0C,0C
娠,00,0C,0C
娯,00,0C,0C
婆,00,0C,0C
婚,00,0C,0C
婦,00,0C,0C
婿,00,0C,0C
媒,00,0C,0C
嫁,00,0C,0C
嫌,00,0C,0C
嫡,00,0C,0C
嬢,00,0C,0C
子,00,0C,0C
孔,00,0C,0C
字,00,0C,0C
存,00,0C,0C
孝,00,0C,0C
季,00,0C,0C
孤,00,0C,0C
学,00,0C,0C
孫,00,0C,0C
宅,00,0C,0C
宇,00,0C,0C
守,00,0C,0C
安,00,0C,0C
完,00,0C,0C
宗,00,0C,0C
官,00,0C,0C
宙,00,0C,0C
定,00,0C,0C
宜,00,0C,0C
宝,00,0C,0C
実,00,0C,0C
客,00,0C,0C
宣,00,0C,0C
室,00,0C,0C
宮,00,0C,0C
宰,00,0C,0C
害,00,0C,0C
宴,00,0C,0C
宵,00,0C,0C
家,00,0C,0C
容,00,0C,0C
宿,00,0C,0C
寂,00,0C,0C
寄,00,0C,0C
密,00,0C,0C
富,00,0C,0C
寒,00,0C,0C
寛,00,0C,0C
寝,00,0C,0C
察,00,0C,0C
寡,00,0C,0C
寧,00,0C,0C
審,00,0C,0C
寮,00,0C,0C
寸,00,0C,0C
寺,00,0C,0C
対,00,0C,0C
寿,00,0C,0C
封,00,0C,0C
専,00,0C,0C
射,00,0C,0C
将,00,0C,0C
尉,00,0C,0C
尊,00,0C,0C
尋,00,0C,0C
導,00,0C,0C
小,00,0C,0C
少,00,0C,0C
尚,00,0C,0C
就,00,0C,0C
尺,00,0C,0C
尼,00,0C,0C
尽,00,0C,0C
尾,00,0C,0C
尿,00,0C,0C
局,00,0C,0C
居,00,0C,0C
屈,00,0C,0C
届,00,0C,0C
屋,00,0C,0C
展,00,0C,0C
属,00,0C,0C
層,00,0C,0C
履,00,0C,0C
屯,00,0C,0C
山,00,0C,0C
岐,00,0C,0C
岩,00,0C,0C
岬,00,0C,0C
岳,00,0C,0C
岸,00,0C,0C
峠,00,0C,0C
峡,00,0C,0C
峰,00,0C,0C
島,00,0C,0C
崇,00,0C,0C
崎,00,0C,0C
崩,00,0C,0C
川,00,0C,0C
州,00,0C,0C
巡,00,0C,0C
巣,00,0C,0C
工,00,0C,0C
左,00,0C,0C
巧,00,0C,0C
巨,00,0C,0C
差,00,0C,0C
己,00,0C,0C
巻,00,0C,0C
市,00,0C,0C
布,00,0C,0C
帆,00,0C,0C
希,00,0C,0C
帝,00,0C,0C
帥,00,0C,0C
師,00,0C,0C
席,00,0C,0C
帯,00,0C,0C
帰,00,0C,0C
帳,00,0C,0C
常,00,0C,0C
帽,00,0C,0C
幅,00,0C,0C
幕,00,0C,0C
幣,00,0C,0C
干,00,0C,0C
平,00,0C,0C
年,00,0C,0C
幸,00,0C,0C
幹,00,0C,0C
幻,00,0C,0C
幼,00,0C,0C
幽,00,0C,0C
幾,00,0C,0C
庁,00,0C,0C
広,00,0C,0C
床,00,0C,0C
序,00,0C,0C
底,00,0C,0C
店,00,0C,0C
府,00,0C,0C
度,00,0C,0C
座,00,0C,0C
庫,00,0C,0C
庭,00,0C,0C
庶,00,0C,0C
康,00,0C,0C
庸,00,0C,0C
廃,00,0C,0C
廉,00,0C,0C
廊,00,0C,0C
延,00,0C,0C
廷,00,0C,0C
建,00,0C,0C
弁,00,0C,0C
弊,00,0C,0C
式,00,0C,0C
弐,00,0C,0C
弓,00,0C,0C
弔,00,0C,0C
引,00,0C,0C
弟,00,0C,0C
弦,00,0C,0C
弧,00,0C,0C
弱,00,0C,0C
張,00,0C,0C
強,00,0C,0C
弾,00,0C,0C
当,00,0C,0C
形,00,0C,0C
彩,00,0C,0C
彫,00,0C,0C
彰,00,0C,0C
影,00,0C,0C
役,00,0C,0C
彼,00,0C,0C
往,00,0C,0C
征,00,0C,0C
径,00,0C,0C
待,00,0C,0C
律,00,0C,0C
後,00,0C,0C
徐,00,0C,0C
徒,00,0C,0C
従,00,0C,0C
得,00,0C,0C
御,00,0C,0C
復,00,0C,0C
循,00,0C,0C
微,00,0C,0C
徳,00,0C,0C
徴,00,0C,0C
徹,00,0C,0C
心,00,0C,0C
必,00,0C,0C
忌,00,0C,0C
忍,00,0C,0C
志,00,0C,0C
忘,00,0C,0C
忙,00,0C,0C
応,00,0C,0C
忠,00,0C,0C
快,00,0C,0C
念,00,0C,0C
怒,00,0C,0C
怖,00,0C,0C
思,00,0C,0C
怠,00,0C,0C
急,00,0C,0C
性,00,0C,0C
怪,00,0C,0C
恋,00,0C,0C
恐,00,0C,0C
恒,00,0C,0C
恥,00,0C,0C
恨,00,0C,0C
恩,00,0C,0C
恭,00,0C,0C
息,00,0C,0C
恵,00,0C,0C
悔,00,0C,0C
悟,00,0C,0C
悠,00,0C,0C
患,00,0C,0C
悦,00,0C,0C
悩,00,0C,0C
悪,00,0C,0C
悲,00,0C,0C
悼,00,0C,0C
情,00,0C,0C
惑,00,0C,0C
惜,00,0C,0C
惨,00,0C,0C
惰,00,0C,0C
想,00,0C,0C
愁,00,0C,0C
愉,00,0C,0C
意,00,0C,0C
愚,00,0C,0C
愛,00,0C,0C
感,00,0C,0C
慈,00,0C,0C
態,00,0C,0C
慌,00,0C,0C
慎,00,0C,0C
慕,00,0C,0C
慢,00,0C,0C
慣,00,0C,0C
慨,00,0C,0C
慮,00,0C,0C
慰,00,0C,0C
慶,00,0C,0C
憂,00,0C,0C
憎,00,0C,0C
憤,00,0C,0C
憩,00,0C,0C
憲,00,0C,0C
憶,00,0C,0C
憾,00,0C,0C
懇,00,0C,0C
懐,00,0C,0C
懲,00,0C,0C
懸,00,0C,0C
成,00,0C,0C
我,00,0C,0C
戒,00,0C,0C
戦,00,0C,0C
戯,00,0C,0C
戸,00,0C,0C
戻,00,0C,0C
房,00,0C,0C
所,00,0C,0C
扇,00,0C,0C
扉,00,0C,0C
手,00,0C,0C
才,00,0C,0C
打,00,0C,0C
払,00,0C,0C
扱,00,0C,0C
扶,00,0C,0C
批,00,0C,0C
承,00,0C,0C
技,00,0C,0C
抄,00,0C,0C
把,00,0C,0C
抑,00,0C,0C
投,00,0C,0C
抗,00,0C,0C
